timestamp,price,market_cap,volume,coin,symbol,name,market_cap_rank,circulating_supply,total_supply,max_supply,ath,atl,price_change_24h,price_change_percentage_24h,categories
2025-03-14 00:00:00,81098.90052436228,1608477373718.186,32583592654.882656,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-15 00:00:00,83971.70916064628,1665725559905.8198,28571483950.074646,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-16 00:00:00,84391.69087647168,1674173293916.4658,10761796127.312485,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-17 00:00:00,82610.61750343916,1638672153483.722,21638031633.118767,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-18 00:00:00,84075.36559694471,1667799227887.438,19659366246.596867,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-19 00:00:00,82780.03048688271,1642578274105.806,24557570268.85276,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-20 00:00:00,86815.44109470697,1721565138141.278,33871216993.304657,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-21 00:00:00,84270.84358966233,1672550706502.8184,27579127651.06656,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-22 00:00:00,84009.532917822,1666749159154.2927,18091004975.919056,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
2025-03-23 00:00:00,83793.30854192551,1662574363663.653,7771134681.982918,bitcoin,btc,Bitcoin,1,19987287.0,19987300.0,21000000.0,126080.0,67.81,-1517.76821005813,-2.14647,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index"
