timestamp,coin,price,market_cap,volume,market_cap_rank,ath,atl,log_return_1d,volatility_7d,volatility_14d,rsi_14,volume_to_marketcap,circulating_supply_history,distance_from_ath,distance_from_atl,has_max_supply,ma_7,ma_14,ma_30,price_to_ma7,price_to_ma30,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration
2025-05-06,ethereum,1820.0,219769896301.0,10545233503.0,2,4946.05,0.43,0.0065267474590003345,0.011990129529195082,0.03116073733297191,78.58169734392308,0.0479830662911043,120752690.0,-0.6320295993772809,4231.558139534884,0,1819.137142857143,1804.3064285714286,1686.5240000000001,0.0004743222061321357,0.07914266266000358,23.968083202927573,8.08496452688339,15.883118676044184,0.01446447980825516,0.01744186046511631,-0.0029773806568611505
2025-05-07,ethereum,1816.17,219305875805.0,11950393737.0,2,4946.05,0.43,-0.0021066129561618176,0.01202242445940771,0.012594796004116346,61.48121034651052,0.05449189946750866,120751844.0,-0.632803954670899,4222.6511627906975,0,1821.8800000000003,1808.3392857142858,1694.5753333333332,-0.003134125189364976,0.07175524408671918,23.935543696206423,11.255080360747996,12.680463335458427,-0.012333795578758355,-0.0028002437859295792,-0.009533551792828776
2025-05-08,ethereum,1810.32,218569578701.0,47111217119.0,2,4946.05,0.43,-0.003226262901194127,0.012107083834308202,0.011655794241518955,53.75913919161262,0.2155433404730466,120735328.0,-0.6339867166729006,4209.0465116279065,0,1824.2042857142858,1809.507142857143,1703.0556666666666,-0.007611146308018522,0.06298345699015122,23.170613385285606,13.63818696565552,9.532426419630086,-0.016894478747495167,0.009271390262531432,-0.0261658690100266
2025-05-09,ethereum,2197.56,264994998216.0,35992825075.0,2,4946.05,0.43,0.1938440287273725,0.07452231986384818,0.05247900492606756,86.90293554892868,0.13582454505674066,120586013.0,-0.555693937586559,5109.604651162791,0,1875.4485714285713,1840.090714285714,1727.2623333333333,0.17175167236181216,0.2722792349434664,53.19819660738153,21.550188894000726,31.648007713380807,0.19790678659035166,0.22120589052514594,-0.023299103934794285
2025-05-10,ethereum,2341.41,282636716534.0,44566779462.0,2,4946.05,0.43,0.06340565804459887,0.07487051568011736,0.05398133246005423,89.21611763203089,0.15768220070105013,120712185.0,-0.526610123229648,5444.139534883721,0,1946.8742857142856,1879.562857142857,1749.8916666666667,0.20265084252266635,0.3380314019439298,87.59304731862608,34.7587605789258,52.834286739700275,0.2949130607910804,0.3029766774069682,-0.008063616615887836
2025-05-11,ethereum,2583.68,312095621694.0,29947910159.0,2,4946.05,0.43,0.09846142723906479,0.07616276640983433,0.05797575853594769,91.69045353631462,0.09595748250631657,120794998.0,-0.47762760182367753,6007.558139534884,0,2053.9,1934.0207142857141,1785.2166666666667,0.2579385559180095,0.4472641042637214,132.86875032807825,54.380758528756296,78.48799179932195,0.41960439560439555,0.44013823472032554,-0.020533839115929986
2025-05-12,ethereum,2507.47,302727255564.0,26138286410.0,2,4946.05,0.43,-0.02994046256767823,0.07849846800388958,0.0588851845387525,87.0602284527518,0.08634269273608258,120730161.0,-0.4930358568959069,5830.325581395349,0,2153.8014285714285,1985.0049999999999,1816.5279999999998,0.16420667510799838,0.3803640791664098,160.74756322348276,75.65411946770159,85.09344375578117,0.38063617392644944,0.36360768958860157,0.01702848433784787
2025-05-13,ethereum,2492.43,300976824863.0,31524626115.0,2,4946.05,0.43,-0.006016138467977948,0.07970248248299602,0.05918637320739076,85.6361149110807,0.10474104153816335,120756380.0,-0.49607666723951443,5795.3488372093025,0,2249.862857142857,2034.5,1844.747,0.10781419057923523,0.3510958413267509,179.55828485693678,96.43495254554864,83.12333231138814,0.376789738830704,0.353529593848259,0.023260144982444997
2025-05-14,ethereum,2676.64,322977150438.0,32279895882.0,2,4946.05,0.43,0.07130413839410553,0.07727660593866771,0.06003867896380694,88.1169241968611,0.09994482841347806,120665144.0,-0.45883280597648635,6223.7441860465115,0,2372.7871428571425,2097.3335714285713,1880.7876666666666,0.12805735991007572,0.42314842203523595,206.9445962807888,118.53688129259668,88.40771498819213,0.2180054241977465,0.45905696375034055,-0.24105153955259406
2025-05-15,ethereum,2603.72,314022060127.0,28150234191.0,2,4946.05,0.43,-0.027621084917660778,0.08082977504511561,0.06142667405857768,83.07718704806726,0.08964412939528897,120605157.0,-0.47357588378605153,6054.162790697675,0,2486.13,2155.167142857143,1913.5269999999998,0.04729841158748725,0.36069153975878054,220.22578504556395,138.87466204319014,81.35112300237381,0.11203078486894658,0.4399831873285549,-0.3279524024596083
2025-05-16,ethereum,2542.3,306933361056.0,26211434558.0,2,4946.05,0.43,-0.02387200857019976,0.054819544722454004,0.06289669926802505,78.3528008190048,0.08539780253218458,120730583.0,-0.4859938738993742,5911.32558139535,0,2535.378571428571,2205.4135714285717,1945.3429999999998,0.0027299388933185423,0.3068646506040325,223.22197812286004,155.74412525912413,67.4778528637359,-0.016015915283626336,0.39686813186813197,-0.4128840471517583
2025-05-17,ethereum,2544.39,307619694636.0,21130441535.0,2,4946.05,0.43,0.0008217525021616666,0.051732680226888934,0.06291231501330409,78.3442469597755,0.06869014534327268,120901157.0,-0.48557131448327456,5916.186046511628,0,2564.375714285714,2255.625,1977.5656666666666,-0.007793598330532036,0.286627313007895,223.192306281735,169.23376146364632,53.95854481808868,0.014724004674034008,0.4009646674044829,-0.3862406627304489
