timestamp,price,volume,coin,spy_return,dxy_return,vix,vix_change,fear_greed,fear_greed_cat,log_return_1d,volatility_7d,volatility_14d,volatility_21d,rsi_14,ma_7,ma_14,ma_30,ma_50,price_to_ma7,price_to_ma30,price_to_ma50,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration,bb_width,bb_pct,spy_return_ma7,spy_return_std7,dxy_return_ma7,vix_ma14,vix_regime,fear_greed_ma7,fear_greed_lag1,fear_greed_lag7,bull_bear_flag,volatility_regime,log_price,log_volume
2021-04-02,59384.31,58727860620,btc,0.010741,-0.003223,17.33,-2.07,74,3,0.004870024949323595,0.012079367966762065,0.028537980950047892,0.0326490876010136,53.50850499534073,57998.728571428575,56479.42785714286,55828.996666666666,53494.885599999994,0.023889858669315547,0.06368220003237264,0.1100932235660301,1587.2551886449219,1492.2548382637322,95.00035038118972,0.061367541990053676,0.08486388577055282,-0.02349634378049914,0.1745312931035893,0.7946896763858646,0.007762857142857145,0.0075690623467852885,-0.0005528571428571413,19.505714285714284,0,72.42857142857143,74,54,1,0,10.991785329045108,24.796180078437814
2021-04-03,57603.89,59641344484,btc,0.010741,-0.003223,17.33,-2.07,73,3,-0.03043994991926905,0.01934047945166929,0.029775012415271782,0.029808798942101984,47.853819641624916,58231.64,56428.73142857143,56130.42066666667,53696.866400000006,-0.010780221886246034,0.026250815793517724,0.07276073748690841,1487.310066549384,1491.2658839208625,-3.955817371478588,-0.002533497719488409,0.09151467182776774,-0.09404816954725614,0.17230889196323224,0.6208616435855902,0.007013428571428573,0.006844042856312826,-0.0008439999999999984,19.247142857142855,0,73.57142857142857,74,65,1,0,10.961345379125838,24.811614869915477
2021-04-04,58758.55,50749662970,btc,0.010741,-0.003223,17.33,-2.07,74,3,0.019846574206719137,0.02005535213102318,0.030014577476993962,0.02941329448384334,53.654310774851304,58632.75428571429,56516.955,56458.12899999999,53929.927,0.0021454853318456837,0.04074561167267887,0.08953512953948554,1484.1657108728323,1489.8458493112566,-5.680138438424365,-0.002701056338087926,0.13643757098074882,-0.13913862731883675,0.1765942491629826,0.7245959070693809,0.006264000000000001,0.005922891157759501,-0.0011351428571428556,18.988571428571426,0,73.57142857142857,73,74,1,0,10.981191953332557,24.650170813861035
2021-04-05,59057.88,60706272115,btc,0.014251,-0.003557,17.91,0.58,71,3,0.005081305621801388,0.01687191760204877,0.025505842216376393,0.02618572588042554,65.94101380671724,58819.565714285716,56840.436428571425,56796.312333333335,54136.7388,0.004051615866595915,0.039818917351423976,0.09090206224243412,1488.666791629119,1489.6100377748294,-0.9432461457104182,0.002360026497471024,0.07110557261498607,-0.06874554611751504,0.17671371602015595,0.7207623017502204,0.008372000000000003,0.005735140190091172,-0.001904857142857141,18.919285714285714,0,73.42857142857143,74,72,1,0,10.986273258954359,24.829312859410123
2021-04-06,58192.36,66058027988,btc,-0.000591,-0.002812,18.12,0.21,75,4,-0.014763905329347255,0.016202171206770293,0.026088117370348777,0.026261638242455285,61.61951335059177,58715.94714285714,57087.108571428565,57029.16799999999,54341.6848,-0.008917290247966916,0.020396439941049293,0.07086043088601474,1406.184085194538,1472.9248472587713,-66.7407620642332,-0.015287885892417696,0.03964107307188702,-0.05492895896430472,0.1722183168045992,0.6124200302521571,0.008667000000000003,0.005090193316564608,-0.0028588571428571413,18.763571428571428,0,73.85714285714286,71,72,1,0,10.971509353625011,24.913799404631813
2021-04-07,56048.94,75645303584,btc,0.001157,0.001299,17.16,-0.96,72,3,-0.03752883698952831,0.021012592066724855,0.02620704829959024,0.026304467641640617,60.88716568046161,58305.962857142855,57321.01357142858,57155.91533333334,54478.6662,-0.03870998344839704,-0.019367642471955084,0.028823646200060653,1154.5509210626624,1409.2500620195497,-254.69914095688728,-0.056165845826953165,0.0017549362609081687,-0.05792078208786133,0.150222905564155,0.3522722065627111,0.008254428571428574,0.005617029430138907,-0.0025659999999999984,18.474999999999998,0,73.28571428571429,75,76,1,0,10.933980516635483,25.04932119440768
2021-04-08,58323.95,53053855641,btc,0.004735,-0.004336,16.95,-0.21,73,3,0.03978757752030332,0.0275522502626389,0.026766894649909917,0.027597786616878135,70.37607047019736,58195.69714285714,57793.85571428571,57272.57633333334,54602.165,0.002203820272622977,0.0183573663693342,0.06816185768458075,1125.7274343945246,1352.5455364945446,-226.81810210002004,0.012500197469302865,0.009935030528032796,0.0025651669412700695,0.09895077795067524,0.5926941316385252,0.007396428571428574,0.005632588358742952,-0.0027249999999999983,18.270714285714284,0,73.14285714285714,72,74,1,0,10.973768094155787,24.694573378743332
2021-04-09,58245.0,46655208546,btc,0.007244,0.001086,16.69,-0.26,70,3,-0.0013545633219091302,0.027398174785074007,0.021492178087976592,0.027538185930551934,62.054813756271436,58032.938571428575,58015.833571428564,57347.12466666666,54733.469,0.003654156308325044,0.015656850078400394,0.06415692380104764,1084.0181222255342,1298.8400536407426,-214.82193141520838,-0.008740004646132449,-0.01141745373927594,0.0026774490931434913,0.08341500777773352,0.5473543920492622,0.006896857142857144,0.00543823477575118,-0.00210942857142857,18.115714285714283,0,72.57142857142857,73,74,1,0,10.972413530833878,24.566050409582754
2021-04-10,59793.23,58238470525,btc,0.007244,0.001086,16.69,-0.26,70,3,0.026234191993689444,0.026205695897965585,0.0221359912315893,0.02812933936277811,64.04116789909617,58345.70142857143,58288.670714285705,57413.395000000004,54811.570999999996,0.024809515285383606,0.04145086699715282,0.09088699537548389,1162.491930386852,1271.5704289899645,-109.07849860311262,0.012451344342194526,0.014840756342242356,-0.0023894120000478303,0.07841541051182473,0.8291726424021952,0.006397285714285716,0.005180773066968634,-0.001493857142857141,17.960714285714285,0,72.14285714285714,70,73,1,0,10.998647722827567,24.787811978900027
2021-04-11,60204.96,46280252580,btc,0.007244,0.001086,16.69,-0.26,76,4,0.006862297101887216,0.025455631650220828,0.022091815780810493,0.02794384780881954,65.20356547824541,58552.33142857143,58592.54285714286,57509.15733333333,54893.6798,0.028224812421767144,0.04687605925159566,0.0967557689583055,1243.5710458364701,1265.9705523592656,-22.39950652279549,0.03458529607666705,0.018768674124273854,0.015816621952393195,0.07056107287512568,0.8900047395882098,0.0058977142857142865,0.0048501636987591384,-0.0008782857142857126,17.805714285714284,0,72.42857142857143,70,74,1,0,11.005510019929455,24.557981196906088
