timestamp,coin,price,volume,log_return_1d,volatility_7d,volatility_14d,rsi_14,ma_7,ma_14,ma_30,price_to_ma7,price_to_ma30,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration
2025-03-19,eth,2057.75,20065206266,0.06277795302841618,0.030743766499320334,0.042142996272177546,39.94498477257098,1930.6514285714288,1983.0728571428572,2243.6556666666665,0.06583196197286469,-0.0828583768127224,-164.50995003831326,-188.7092941953707,24.199344157057425,0.07765505611504753,0.020957474783057428,0.0566975813319901
2025-03-20,eth,1982.1,13217865782,-0.03745626414880375,0.03350241353675815,0.04288327411063747,38.42858042971458,1947.67,1967.331428571429,2220.7476666666666,0.017677532641566504,-0.10746275691234922,-153.56413356685493,-181.68026206966755,28.116128502812614,0.023077439235259734,0.06498670177041066,-0.041909262535150926
2025-03-21,eth,1964.85,9708125480,-0.008740982192182131,0.03325450561250732,0.04243216390604872,40.389836868943306,1955.5814285714284,1954.892857142857,2195.7169999999996,0.004739547682932467,-0.10514424217692889,-144.61440119101871,-174.2670898939378,29.65268870291908,0.04101322426143339,0.02344466205517115,0.01756856220626224
2025-03-22,eth,1980.04,6117036512,0.0077011399929573935,0.03299696910031853,0.0414615301013078,37.10419359722367,1961.6742857142858,1939.0735714285715,2170.3720000000003,0.009362264887428452,-0.08769556555281782,-134.74273735022393,-166.36221938519503,31.6194820349711,0.02752464971458224,0.037224067302957575,-0.009699417588375336
2025-03-23,eth,2005.3,7522339707,0.012676628978262968,0.030427022687378985,0.03454960519306504,49.268572247295644,1978.5114285714285,1938.3442857142857,2148.56,0.013539760772528858,-0.06667721636817217,-123.45795528293183,-157.7813665647424,34.323411281810564,0.0376499322135635,0.07639951260621469,-0.038749580392651195
2025-03-24,eth,2077.48,14044912402,0.03536194524480063,0.031862952930805336,0.027114968248400987,67.56581191029117,2000.0085714285713,1953.7964285714286,2125.675,0.03873554827622177,-0.022672798052383435,-107.45172482812563,-147.71543821741903,40.2637133892934,0.009588142388531118,0.08798776623879934,-0.07839962385026822
2025-03-25,eth,2067.76,11735658914,-0.004689724992880963,0.03229937354970519,0.026437296834735332,63.048694424841244,2019.3257142857144,1964.3621428571428,2100.5566666666664,0.023985375599209963,-0.015613321548097333,-94.46209441677456,-137.06476945729014,42.60267504051558,0.043216790272943006,0.06729156235966949,-0.02407477208672648
2025-03-26,eth,2009.19,13178523590,-0.02873423997671926,0.024886485901285216,0.027854177279590657,58.15365087630795,2012.3885714285714,1971.52,2083.7356666666665,-0.0015894402671451687,-0.03577501112985049,-87.88079316096628,-127.22797419802538,39.3471810370591,0.0225666081380258,0.06450536175984412,-0.041938753621818314
2025-03-27,eth,2002.36,11593274543,-0.0034051708689128387,0.01996391450017967,0.02677195840206788,62.1139172301114,2015.282857142857,1981.4764285714286,2067.3613333333333,-0.006412428457401909,-0.031441689599818405,-82.26785578777253,-118.23595051597482,35.96809472820229,0.01127249954546361,0.03910742086144259,-0.027834921315978978
2025-03-28,eth,1895.5,18160526498,-0.0548438289328859,0.029306158485972164,0.030490421135049354,48.90119397819692,2005.3757142857141,1980.4785714285715,2052.8296666666665,-0.05479058786988965,-0.07664039019960897,-85.45717430407012,-111.68019527359388,26.22302096952376,-0.054754899516281874,-0.01916648555786682,-0.035588413958415055
2025-03-29,eth,1827.32,12194771785,-0.03663224339546624,0.030821490926195325,0.03159398706282627,41.85812560100598,1983.5585714285714,1972.6164285714287,2036.8909999999998,-0.0787668051143292,-0.10288768520259549,-92.42091759400068,-107.82833973767525,15.407422143674566,-0.12041511831642182,-0.11198153322804039,-0.008433585088381435
